what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1445282758863
processors,sysinfo,,,"8",1445282758863
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1445282758863
java.runtime.version,sysinfo,,,"1.8.0_51-b16",1445282758863
java.specification.name,sysinfo,,,"Java Platform API Specification",1445282758863
java.specification.vendor,sysinfo,,,"Oracle Corporation",1445282758863
java.specification.version,sysinfo,,,"1.8",1445282758863
java.vendor,sysinfo,,,"Oracle Corporation",1445282758863
java.version,sysinfo,,,"1.8.0_51",1445282758863
java.vm.info,sysinfo,,,"mixed mode",1445282758863
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1445282758863
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445282758863
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1445282758863
java.vm.specification.version,sysinfo,,,"1.8",1445282758863
java.vm.vendor,sysinfo,,,"Oracle Corporation",1445282758863
java.vm.version,sysinfo,,,"25.51-b03",1445282758863
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1445282761915
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1445282761926
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1445282761938
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1445282775350
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1445282785744
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1445282786789
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1445282788084
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1445282788251
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1445282788252
